epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8435,1.33712,1.08695,1.11845,0.6164,0.57073,0.59787,0.33123,1.25354,0.90766,1.08784,0.000332442,0.000332442,0.0670882
2,166.52,1.24045,0.91727,1.0798,0.70253,0.56611,0.65827,0.39311,1.16614,0.82158,1.06026,0.000665703,0.000665703,0.0340882
3,248.848,1.20823,0.88634,1.06964,0.71191,0.58478,0.65579,0.38122,1.20821,0.78595,1.06583,0.000998675,0.000998675,0.0010878
4,329.256,1.1864,0.85623,1.06106,0.73579,0.63099,0.72416,0.41996,1.27667,0.77891,1.07175,0.000999023,0.000999023,0.000999023
5,409.312,1.14772,0.80802,1.0455,0.77297,0.64781,0.76161,0.44446,1.18493,0.73787,1.03573,0.000998264,0.000998264,0.000998264
6,489.284,1.12677,0.78059,1.0313,0.80227,0.68437,0.78302,0.47833,1.08018,0.69197,1.00542,0.000997288,0.000997288,0.000997288
7,569.306,1.09506,0.75707,1.01999,0.79098,0.70042,0.78793,0.48949,1.07639,0.68312,1.00674,0.000996097,0.000996097,0.000996097
8,652.867,1.08666,0.74576,1.0169,0.80839,0.73469,0.81586,0.50543,1.021,0.65191,0.98799,0.00099469,0.00099469,0.00099469
9,737.36,1.07188,0.72804,1.01233,0.79849,0.72664,0.81017,0.51106,1.03877,0.65754,0.99752,0.000993068,0.000993068,0.000993068
10,821.944,1.06919,0.71797,1.00866,0.81688,0.74855,0.82545,0.5255,0.99216,0.63063,0.97645,0.000991232,0.000991232,0.000991232
11,906.925,1.05268,0.70647,1.00439,0.83766,0.74597,0.84081,0.53691,0.96311,0.60841,0.9707,0.000989183,0.000989183,0.000989183
12,987.232,1.02899,0.68522,0.99392,0.82803,0.76586,0.85342,0.54901,0.98069,0.60028,0.96905,0.000986922,0.000986922,0.000986922
13,1067.71,1.02876,0.67916,0.99514,0.86744,0.75768,0.84651,0.55953,0.95119,0.59051,0.96115,0.000984449,0.000984449,0.000984449
14,1148.06,1.01862,0.67095,0.99044,0.84578,0.75003,0.84937,0.56017,0.94095,0.58352,0.95907,0.000981765,0.000981765,0.000981765
15,1228.35,1.00659,0.66218,0.98365,0.81553,0.78068,0.86051,0.57115,0.91627,0.56829,0.95192,0.000978873,0.000978873,0.000978873
16,1308.5,0.99546,0.6485,0.98057,0.85588,0.76406,0.86556,0.56913,0.94305,0.57162,0.95775,0.000975773,0.000975773,0.000975773
17,1388.7,0.98614,0.63759,0.97734,0.88144,0.78376,0.87698,0.58981,0.90898,0.54867,0.95131,0.000972466,0.000972466,0.000972466
18,1468.78,0.98246,0.63349,0.97485,0.86326,0.77523,0.86729,0.57361,0.90704,0.5646,0.95067,0.000968955,0.000968955,0.000968955
19,1548.9,0.97271,0.62806,0.97526,0.87011,0.80744,0.88001,0.59092,0.91282,0.55977,0.95117,0.000965239,0.000965239,0.000965239
20,1628.85,0.95814,0.61806,0.96635,0.86545,0.77893,0.86818,0.57968,0.90936,0.5565,0.94957,0.000961322,0.000961322,0.000961322
21,1708.57,0.96487,0.61988,0.96859,0.87407,0.78402,0.88145,0.59312,0.90197,0.54649,0.94719,0.000957205,0.000957205,0.000957205
22,1788.83,0.95363,0.6111,0.96477,0.86671,0.80535,0.87927,0.59191,0.90269,0.54144,0.94424,0.000952889,0.000952889,0.000952889
23,1868.78,0.94284,0.59861,0.95807,0.88677,0.80487,0.89389,0.60573,0.89736,0.53586,0.93979,0.000948377,0.000948377,0.000948377
24,1950.31,0.94286,0.60115,0.9589,0.85867,0.80285,0.88524,0.60876,0.88473,0.52244,0.94015,0.000943671,0.000943671,0.000943671
25,2034.33,0.93708,0.59604,0.95622,0.89666,0.80597,0.89561,0.61407,0.86499,0.51923,0.933,0.000938772,0.000938772,0.000938772
26,2119.79,0.92364,0.58557,0.95363,0.88103,0.81129,0.90065,0.6259,0.85339,0.51628,0.93182,0.000933683,0.000933683,0.000933683
27,2204.95,0.9211,0.58226,0.95141,0.88149,0.82633,0.9039,0.62757,0.85015,0.51065,0.92922,0.000928405,0.000928405,0.000928405
28,2290.64,0.91367,0.57799,0.95218,0.88965,0.81862,0.89953,0.62376,0.84981,0.5125,0.93057,0.000922942,0.000922942,0.000922942
29,2377.45,0.90859,0.57599,0.94953,0.88781,0.81921,0.90282,0.62767,0.8576,0.5056,0.93029,0.000917296,0.000917296,0.000917296
30,2463.65,0.90456,0.5713,0.94656,0.8948,0.81784,0.90493,0.63013,0.84942,0.49859,0.92629,0.000911469,0.000911469,0.000911469
31,2547.55,0.90227,0.56676,0.94617,0.90912,0.81874,0.90689,0.63136,0.84392,0.49407,0.92636,0.000905463,0.000905463,0.000905463
32,2631.22,0.89967,0.56481,0.94564,0.88551,0.85025,0.91444,0.64062,0.83138,0.49271,0.92164,0.000899282,0.000899282,0.000899282
33,2714.94,0.88553,0.55427,0.93943,0.89943,0.81593,0.90748,0.63188,0.83844,0.48682,0.92332,0.000892928,0.000892928,0.000892928
34,2798.38,0.88356,0.55044,0.93726,0.87613,0.8451,0.91416,0.63491,0.83376,0.48869,0.92204,0.000886404,0.000886404,0.000886404
35,2882.05,0.87892,0.55332,0.941,0.90284,0.83745,0.91155,0.64739,0.81271,0.47855,0.9177,0.000879713,0.000879713,0.000879713
36,2965.51,0.87896,0.54639,0.93625,0.89139,0.84665,0.91122,0.64527,0.81897,0.48011,0.91828,0.000872857,0.000872857,0.000872857
37,3049.23,0.86226,0.53888,0.93278,0.90975,0.83831,0.91652,0.64653,0.82548,0.47532,0.91805,0.000865839,0.000865839,0.000865839
38,3132.99,0.86408,0.53996,0.93441,0.88752,0.8516,0.91547,0.65628,0.79515,0.46733,0.91205,0.000858664,0.000858664,0.000858664
39,3216.75,0.8542,0.53091,0.93007,0.88592,0.855,0.91825,0.65973,0.80123,0.46604,0.91317,0.000851333,0.000851333,0.000851333
40,3300.54,0.8511,0.52753,0.93091,0.92297,0.85217,0.92517,0.66145,0.79807,0.46155,0.91365,0.000843851,0.000843851,0.000843851
41,3384.47,0.85497,0.52653,0.92944,0.89978,0.85776,0.92199,0.65538,0.80546,0.46663,0.91163,0.00083622,0.00083622,0.00083622
42,3468.85,0.85257,0.52587,0.92984,0.90977,0.83977,0.92164,0.66302,0.80721,0.46756,0.9113,0.000828443,0.000828443,0.000828443
43,3553.46,0.85189,0.52756,0.92864,0.8997,0.85848,0.91922,0.65958,0.80517,0.46619,0.91155,0.000820525,0.000820525,0.000820525
44,3636.31,0.83712,0.5162,0.92516,0.91093,0.85814,0.92721,0.66509,0.78508,0.45538,0.90731,0.000812468,0.000812468,0.000812468
45,3719.55,0.8394,0.51709,0.92577,0.8986,0.87616,0.93067,0.67514,0.78828,0.44681,0.90797,0.000804277,0.000804277,0.000804277
46,3802.63,0.83311,0.51138,0.9238,0.91885,0.85471,0.92361,0.66516,0.77975,0.4432,0.90429,0.000795954,0.000795954,0.000795954
